16;38,27,20,95,31,73;57,86,67,18,35,38;32,74,88,56,27,23
61;17,5,50,66,66,54;6,38,29,73,18,91;90,57,25,19,86,31
69;20,55,31,5,68,52;71,50,8,94,11,89;99,98,94,74,5,49
86;72,38,25,63,39,69;84,17,92,70,85,30;40,35,75,77,64,7
58;7,12,77,38,80,13;76,30,71,24,62,86;39,93,12,27,52,93
87;19,18,97,98,84,93;68,56,10,57,64,64;87,85,5,82,62,19
7;68,60,54,41,32,58;86,49,81,20,86,19;59,64,75,56,33,66
47;38,82,57,72,33,41;65,70,42,65,31,72;7,49,44,50,55,66
38;44,38,63,12,17,94;99,18,28,51,62,35;45,18,81,26,33,71
25;59,44,70,78,78,14;34,87,27,73,71,94;17,20,90,35,37,77
30;9,15,66,92,36,17;13,29,51,58,70,81;47,84,93,78,71,38
90;81,9,5,48,84,75;72,44,74,60,5,12;53,86,45,37,64,64
23;81,20,24,76,85,96;18,73,26,15,29,57;91,40,24,20,18,37
60;43,46,62,82,87,35;21,46,17,90,8,45;27,18,21,37,45,28
72;47,97,76,92,26,7;75,62,81,75,55,6;15,85,90,61,77,48
78;76,43,39,54,13,17;42,97,92,46,79,58;75,40,23,50,25,55
18;31,51,12,64,96,92;99,11,67,10,22,12;16,6,57,39,89,51
97;48,71,60,79,15,72;19,29,93,72,65,27;29,91,27,55,90,23
19;29,47,79,91,37,18;87,47,77,89,34,61;66,10,83,97,39,57
94;57,32,57,95,91,90;14,98,66,72,51,24;15,24,65,78,75,68
6;57,58,72,87,46,7;93,70,46,7,45,55;91,81,42,14,51,81
66;48,78,73,86,59,86;64,35,31,14,73,89;23,63,26,57,50,86
77;40,27,40,39,93,17;98,10,35,74,52,47;63,64,33,81,17,31
48;55,92,61,77,59,89;72,70,41,59,82,74;41,25,42,37,11,89
83;27,80,9,61,82,51;7,96,50,59,83,40;5,54,52,78,73,93
7;87,93,14,69,67,94;32,84,82,67,53,95;10,6,91,7,54,47
90;50,79,73,76,8,56;69,74,65,35,86,89;97,57,96,29,67,11
47;52,9,76,67,34,76;76,27,76,26,18,49;40,89,5,95,10,14
83;67,77,43,69,90,77;56,74,49,65,15,80;50,71,6,56,63,34
46;14,88,35,49,76,9;60,80,70,42,58,62;66,11,71,76,21,22
19;24,38,64,56,38,98;19,28,58,61,67,68;89,36,94,93,12,16
15;22,14,43,24,24,40;98,76,72,17,36,75;88,33,53,18,27,77
27;18,5,67,47,62,52;64,38,31,29,30,14;54,25,76,34,7,29
50;88,42,85,61,87,17;58,38,83,77,22,46;66,65,88,33,9,73
50;88,14,29,91,63,83;16,80,57,64,14,54;23,95,54,43,85,50
96;57,57,38,31,98,51;65,42,84,9,77,20;48,45,46,60,37,78
26;88,11,39,77,74,71;27,29,29,68,76,38;8,93,31,34,49,8
71;76,34,10,86,45,50;41,50,70,64,82,83;50,90,67,50,81,77
76;49,74,76,45,63,20;50,42,57,48,64,64;27,72,35,93,66,20
89;70,36,96,85,60,42;28,76,77,44,84,86;14,8,24,55,25,46
17;44,68,72,10,88,70;35,84,33,71,96,99;40,40,69,73,21,44
19;56,34,12,80,43,53;68,41,88,45,63,95;58,98,47,44,54,86
98;16,46,65,61,63,91;37,51,56,19,49,44;19,59,11,14,43,52
39;44,32,10,68,92,81;83,5,7,30,45,72;9,86,79,46,32,14
28;39,70,51,24,30,6;23,23,68,33,46,63;52,61,65,44,46,25
19;26,14,8,5,31,34;17,13,70,88,10,75;6,94,95,35,55,20
46;28,13,53,70,8,51;38,30,53,64,98,95;66,95,9,88,83,62
34;88,77,8,29,13,15;78,84,56,23,81,23;27,82,56,81,70,76
59;74,33,93,60,33,88;37,82,55,32,49,11;68,97,10,32,66,23
16;87,58,93,76,10,43;78,45,43,96,60,79;28,45,50,93,69,66
43;38,51,12,85,98,51;82,46,47,53,75,56;6,54,11,48,10,92
95;88,39,82,94,73,78;59,9,10,29,23,53;99,54,53,40,36,36
68;12,67,72,69,92,30;84,85,65,75,95,5;61,58,94,55,40,93
5;72,8,76,36,41,59;20,93,97,50,19,86;74,12,45,23,74,37
96;29,96,60,61,75,72;55,97,43,78,65,55;14,97,55,84,22,70
67;50,79,24,97,59,64;82,48,8,7,53,27;74,51,54,19,9,58
10;82,80,54,27,40,98;73,12,8,40,75,50;25,74,55,82,58,82
